lyric,line,album,track_n,song_name,album_year
yeah,1,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
so i guess this is what it is  huh ,2,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
think it obvious,3,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
we aint never going to see eye to eye,4,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but it funny,5,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
as much as i hate you,6,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i need you,7,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
this is music to be murdered by,8,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said my last album i sounded bitter,9,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
no  i sound like a spitter,10,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
who ninety percent of,11,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
these hypocrites are tryna get rid of,12,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but why would i get a chip on my shoulder ,13,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i was considered  one time  as the illest,14,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
bitch  i am still as fly as your zipper,15,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
true  i just get richer,16,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but if it was ever all about skrilla,17,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
then i woulda quit a long motherfucking time ago,18,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
bitch  shut the fuck up,19,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i should go say that shit to tech n9ne or to jigga,20,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
nobody said shit about 2 chainz as long as he been here  shit,21,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
no wonder you are mad  now i am,22,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
looking at them plaques  count them  yeah ,23,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i am ll cool j  bigger and deffer  that how come  uh ,24,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i sell like four mil  when i put out a bad album  what  ,25,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
revival flopped  came back and i scared the crap out them,26,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but rolling stone stars  i get two and a half outta,27,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
five  and i will laugh out loud,28,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
 cause that what they gave bad back in the day,29,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
which actually made me not feel as bad now   cause,30,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
if it happened to james,31,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
it can happen to shady,32,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they do the same shit to brady,33,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
more people hate me than love me,34,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
this game will make you go crazy,35,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
 bout to go for b r o k e,36,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i was the g  the o a t,37,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
once i was played in rotation,38,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
at every radio station,39,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said i am lyrically amazing,40,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but i have nothing to say,41,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
but then when i put out revival and i had something to say,42,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
they said that they hated the awake me,43,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i lose the rage  i am too tame,44,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i get it back  they say i am too angry,45,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
i need to get me some dre beats,46,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
no  i should hook up with tay keith,47,Music To Be Murdered By,1,Premonition (Intro),2020-01-17
