line,section_name,section_artist,song_name,artist_name,song_lyrics_url,album,track_number,album_year
Yeah,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"So I guess this is what it is, huh?",Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
Think it's obvious,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
We ain't never gonna see eye to eye,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
But it's funny,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
As much as I hate you,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
I need you,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
This is music to be murdered by,Intro,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
Got a premonition,Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
I feel the end is near,Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
The beauty starts to fade,Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
The joy has turned to pain,Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
I hear the symphony playin',Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
Ten thousand violins,Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
Souls floating away like feathers in the wind,Chorus,Nikki Grier,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
They said my last album I sounded bitter,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"No, I sound like a spitter",Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
Who ninety percent of,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
These hypocrites are tryna get rid of,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
But why would I get a chip on my shoulder?,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"I was considered, one time, as the illest",Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"Bitch, I'm still as fly as your zipper",Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"True, I just get richer",Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
But if it was ever all about skrilla,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
Then I woulda quit a long motherfucking time ago,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"Bitch, shut the fuck up",Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
I should go say that shit to Tech N9ne or to Jigga,Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
"Nobody said shit about 2 Chainz as long as he's been here, shit",Verse,Eminem,Premonition (Intro),Eminem,https://genius.com/Eminem-premonition-intro-lyrics,Music To Be Murdered By,1,2020-01-17
