"song_number","song_title","song_lyrics_url","album"
1,"Premonition (Intro)","https://genius.com/Eminem-premonition-intro-lyrics","Music To Be Murdered By"
2,"Unaccommodating (Ft. Young M.A)","https://genius.com/Eminem-unaccommodating-lyrics","Music To Be Murdered By"
3,"You Gon' Learn (Ft. Royce da 5'9'' & White Gold)","https://genius.com/Eminem-you-gon-learn-lyrics","Music To Be Murdered By"
4,"Alfred (Interlude)","https://genius.com/Eminem-alfred-interlude-lyrics","Music To Be Murdered By"
5,"Those Kinda Nights (Ft. Ed Sheeran)","https://genius.com/Eminem-those-kinda-nights-lyrics","Music To Be Murdered By"
6,"In Too Deep","https://genius.com/Eminem-in-too-deep-lyrics","Music To Be Murdered By"
7,"Godzilla (Ft. Juice WRLD)","https://genius.com/Eminem-godzilla-lyrics","Music To Be Murdered By"
8,"Darkness","https://genius.com/Eminem-darkness-lyrics","Music To Be Murdered By"
9,"Leaving Heaven (Ft. Skylar Grey)","https://genius.com/Eminem-leaving-heaven-lyrics","Music To Be Murdered By"
10,"Yah Yah (Ft. Black Thought, <U+200B>dEnAun, Q-Tip & Royce da 5'9'')","https://genius.com/Eminem-yah-yah-lyrics","Music To Be Murdered By"
11,"Stepdad (Intro)","https://genius.com/Eminem-stepdad-intro-lyrics","Music To Be Murdered By"
12,"Stepdad","https://genius.com/Eminem-stepdad-lyrics","Music To Be Murdered By"
13,"Marsh","https://genius.com/Eminem-marsh-lyrics","Music To Be Murdered By"
14,"Never Love Again","https://genius.com/Eminem-never-love-again-lyrics","Music To Be Murdered By"
15,"Little Engine","https://genius.com/Eminem-little-engine-lyrics","Music To Be Murdered By"
16,"Lock It Up (Ft. Anderson .Paak)","https://genius.com/Eminem-lock-it-up-lyrics","Music To Be Murdered By"
17,"Farewell","https://genius.com/Eminem-farewell-lyrics","Music To Be Murdered By"
18,"No Regrets (Ft. Don Toliver)","https://genius.com/Eminem-no-regrets-lyrics","Music To Be Murdered By"
19,"I Will (Ft. Joell Ortiz, KXNG Crooked & Royce da 5'9'')","https://genius.com/Eminem-i-will-lyrics","Music To Be Murdered By"
20,"Alfred (Outro)","https://genius.com/Eminem-alfred-outro-lyrics","Music To Be Murdered By"
1,"The Ringer","https://genius.com/Eminem-the-ringer-lyrics","Kamikaze"
2,"Greatest","https://genius.com/Eminem-greatest-lyrics","Kamikaze"
3,"Lucky You (Ft. Joyner Lucas)","https://genius.com/Eminem-lucky-you-lyrics","Kamikaze"
4,"Paul (Skit) by Paul Rosenberg","https://genius.com/Paul-rosenberg-paul-skit-lyrics","Kamikaze"
5,"Normal","https://genius.com/Eminem-normal-lyrics","Kamikaze"
6,"Em Calls Paul (Skit) [2018]","https://genius.com/Eminem-em-calls-paul-skit-2018-lyrics","Kamikaze"
7,"Stepping Stone","https://genius.com/Eminem-stepping-stone-lyrics","Kamikaze"
8,"Not Alike (Ft. Royce da 5'9'')","https://genius.com/Eminem-not-alike-lyrics","Kamikaze"
9,"Kamikaze","https://genius.com/Eminem-kamikaze-lyrics","Kamikaze"
10,"Fall","https://genius.com/Eminem-fall-lyrics","Kamikaze"
11,"Nice Guy by Eminem & Jessie Reyez","https://genius.com/Eminem-and-jessie-reyez-nice-guy-lyrics","Kamikaze"
12,"Good Guy (Ft. Jessie Reyez)","https://genius.com/Eminem-good-guy-lyrics","Kamikaze"
